Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
172934,72934,18.41018585979,62.7399916363,523039506702515456,0.3378,2.341,-2.295,-0.458,13.643724,0.002761,14.090179,0.002875,13.009077,0.003799,,,1.081101,0.446454,0.634647,,10776.9,2281.3777,3.5657,225.14688,3.409,0.234,0.4671889,B      
129928,29928,17.02635161752,53.8147296943,411076924832850816,1.7429,4.605,0.348,-4.592,11.165545,0.002801,11.12628,0.015857,10.616291,0.01453,,,0.509989,-0.039265,0.549253,,10286.4,582.2801,1.7545,29.184141,2.303,,0.7496888,B      
179523,79523,96.78956142745,63.97072467312,1007567927137916416,0.1714,1.628,0.472,-1.559,16.465435,0.002929,16.47573,0.004931,16.465202,0.007535,,,0.010529,0.010296,0.000233,,11460.3,7866.914,1.2846,25.928164,,,0.89714617,B      
166794,66794,21.45231688004,63.57712703613,512627062868976384,0.3829,1.826,-1.805,-0.275,15.243446,0.002769,15.747767,0.003337,14.555291,0.003975,,,1.192475,0.50432,0.688155,,9706.9,3934.7795,3.4444,37.46048,2.337,0.333,0.44884783,B      
128360,28360,23.04112628963,36.30314888705,322051800498734080,-0.0844,4.827,3.095,-3.704,16.82108,0.002945,16.80474,0.00595,16.86972,0.009115,,,-0.06498,-0.016338,-0.048641,,12071.0,11680.835,1.464,,,,,B      
108003,8003,80.4981869143,40.08682460851,194013538305093632,0.1486,0.577,0.141,-0.559,15.859045,0.002792,16.281626,0.005381,15.212515,0.004916,,,1.069111,0.422581,0.64653,,11531.1,4386.961,2.4,93.36496,2.954,,0.5673386,B      
134126,34126,13.33187428201,61.09856419772,427322140423663104,0.3765,2.882,-2.783,-0.752,14.506662,0.002764,14.778465,0.0029,14.067225,0.003841,,,0.711241,0.271803,0.439438,,10861.2,3265.419,2.5164,47.55815,2.572,,0.5349808,B      
82407,82407,99.12068240359,-8.03911822413,3003611062643163136,1.2173,2.172,-0.643,-2.074,11.876084,0.002969,12.154936,0.004605,11.424235,0.004395,11.22987,0.007064,0.730701,0.278852,0.451849,,7315.0,772.9789,2.3743,15.75781,1.814,1.15,0.43922645,A      
123519,23519,65.82421465342,45.911081013,256801459046163328,0.3291,1.843,0.94,-1.585,15.44385,0.002781,16.259165,0.004141,14.539046,0.00389,,,1.720119,0.815315,0.904803,,9832.9,2723.8926,3.3307,96.09326,2.8,0.36,0.43470633,B      
67003,67003,319.24185336799,50.6170135907,2172144323726732800,0.6477,8.11,-5.546,-5.917,15.347023,0.002823,16.374998,0.00416,14.33014,0.004064,13.829906,0.066734,2.044858,1.027975,1.016883,,8826.2,1934.9287,3.3356,35.667034,2.237,0.57,0.46744457,A      
